# SOURCE: http://skyserver.sdss.org/dr12/en/tools/search/x_sql.aspx
# TIME: Fri Apr 26 00:02:54 2019
# QUERY:
#   
#           SELECT ALL
#           p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.type,   
#           p.deVRad_u, p.deVRad_g, p.deVRad_r, p.deVRad_i, p.deVRad_z,
#           p.deVAB_u, p.deVAB_g, p.deVAB_r, p.deVAB_i, p.deVAB_z,
#           p.deVPhi_u, p.deVPhi_g, p.deVPhi_r, p.deVPhi_i, p.deVPhi_z,
#   
#           p.expRad_u, p.expRad_g, p.expRad_r, p.expRad_i, p.expRad_z,
#           p.expAB_u, p.expAB_g, p.expAB_r, p.expAB_i, p.expAB_z,
#           p.expPhi_u, p.expPhi_g, p.expPhi_r, p.expPhi_i, p.expPhi_z 
#           FROM PhotoPrimary AS p
#           WHERE
#           p.ra BETWEEN 161.64559891344263 AND 162.09615891344262
#           AND p.dec BETWEEN 15.008631753538266 AND 15.459191753538265
#           AND p.type = 6
#           ORDER by p.r
#           
#Table1
ra,dec,u,g,r,i,z,type,deVRad_u,deVRad_g,deVRad_r,deVRad_i,deVRad_z,deVAB_u,deVAB_g,deVAB_r,deVAB_i,deVAB_z,deVPhi_u,deVPhi_g,deVPhi_r,deVPhi_i,deVPhi_z,expRad_u,expRad_g,expRad_r,expRad_i,expRad_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,expPhi_u,expPhi_g,expPhi_r,expPhi_i,expPhi_z
161.662795718966,15.0545036207779,15.69734,14.5556,14.43717,14.43471,14.47299,6,0.01827855,0.08402073,0.02894935,0.05893904,0.0003546405,0.9249407,0.9998564,0.2499976,0.09549522,0.745594,37.38998,103.2183,66.33187,69.39406,105.3789,0.02514314,0.1272668,0.0199097,0.07365843,3.595403E-05,0.900275,0.9998231,0.6500099,0.3499466,0.8209549,37.69971,103.0266,65.95699,69.42083,105.3941
161.706338506797,15.3354570822646,17.86675,15.48635,14.48019,14.07711,13.84885,6,0.08358491,6.319247E-05,0.008186588,6.533593E-05,0.01838426,0.5204925,0.7542183,0.8500905,0.8349887,0.3499866,37.00529,36.28764,130.461,68.55167,37.67731,0.1276497,6.613732E-05,0.01548833,0.0004089008,0.02315991,0.6898088,0.7024621,0.7498277,0.6923747,0.3996204,37.44038,36.2519,130.1123,68.73479,37.64793
161.789771102846,15.3144715413953,18.59659,15.82395,14.60321,14.1504,13.91794,6,0.1361201,0.00117955,0.001181664,0.03430526,0.03218016,0.1152547,0.8997911,0.532792,0.7500149,0.9997157,12.69185,38.04887,87.9786,97.15013,46.01298,0.1800405,0.0003776973,0.002546866,0.04521866,0.03695426,0.150571,0.8841037,0.8072078,0.7415334,0.9999446,12.18695,38.01293,87.85863,97.196,45.49854
162.018659593825,15.0165974717297,18.61253,16.04743,14.60949,15.25898,13.3996,6,0.2177546,9.158911E-05,0.005440054,0.5990543,0.06388431,0.5309415,0.8578964,0.8996677,0.8738359,0.7271948,6.248195,103.6956,65.9169,69.23288,69.78165,0.2865224,0.000627708,0.006184684,0.7723858,0.0752344,0.5939257,0.7179494,0.8999462,0.8314096,0.7776678,9.76989,103.6407,65.98698,77.56534,69.77988
161.819154517338,15.4048410744758,16.53152,15.21145,14.68228,14.44288,14.34593,6,0.009027427,0.09478535,0.0003105856,0.01109707,0.006390454,0.4097304,0.249975,0.8579389,0.9997376,0.999877,40.62756,42.12899,65.92935,71.00111,68.48576,0.008784247,0.1430134,0.0001704125,0.01420764,0.008147012,0.8206664,0.4143358,0.7896336,0.9999254,0.9999019,40.85191,41.93593,65.83743,70.99049,68.52486
161.712034316571,15.1209809325563,16.36185,15.11147,14.68459,14.53678,14.49485,6,0,0.05961609,0,0.0514662,0.005714933,0.6301436,0.7999648,0.5499234,0.3000036,0.9997652,42.46942,38.82382,37.9719,68.94919,67.87366,8.226244E-05,0.07619543,0.0004695139,0.1139791,0.007105906,0.6574689,0.7756901,0.7666422,0.05,0.9996802,42.48983,38.79107,38.06034,68.92928,67.92381
161.791304718087,15.2562580626106,16.80573,15.24213,14.69544,14.51379,14.45139,6,0.1068566,0.0569526,0.0001148801,0.004013066,0.006302366,0.1999369,0.5687042,0.9438211,0.9998214,0.9994071,12.05052,38.94542,44.07959,68.52496,69.56863,0.166999,0.06503348,0.0001610535,2.627932E-07,0.009400344,0.2499463,0.6965864,0.8127607,0.8736342,0.90491,11.90855,38.86066,44.0812,68.51442,69.50402
161.766648047946,15.0612313897579,16.67925,15.22397,14.7279,14.57891,14.49766,6,0.004613311,0.03962587,0.0002394523,0.01506009,0.0002720333,0.9754449,0.9731718,0.3467954,0.9211239,0.8897713,107.2684,103.1864,64.71714,67.42226,105.4271,0.0008156261,0.04698876,0.0004358098,0.0207372,0.0009819408,0.7828575,0.9848922,0.53865,0.9035677,0.57074,107.3172,103.3795,64.75444,67.5304,105.3178
161.834269004325,15.3723076713291,16.28372,15.12663,14.75638,14.601,14.56773,6,0.08969133,0.07483067,1.424061E-05,0.0007374423,1.20642E-05,0.249959,0.09997577,0.8693635,0.910225,0.7364594,34.05268,40.96722,66.35062,36.75195,69.64399,0.1364065,0.1211279,0.0005097051,0.0001375819,0,0.2499201,0.3501046,0.8910989,0.8177458,0.8999984,34.37733,40.96349,66.29346,36.73696,69.65483
161.784327169343,15.3342456567275,16.40531,15.19151,14.8033,14.65831,14.62053,6,0.01656434,0.05628369,0.05433779,0.006721088,0.01053722,0.9611512,0.3999822,0.3999195,0.9495229,0.9999092,39.46783,39.87086,71.52811,36.05971,67.14487,0.02132901,0.1008479,0.09086086,0.009016943,0.01334175,0.9997535,0.1999168,0.2498928,0.9474657,0.9999684,39.56974,40.01368,71.52514,36.0985,67.1344
