# SOURCE: http://skyserver.sdss.org/dr12/en/tools/search/x_sql.aspx
# TIME: Fri Apr 26 00:02:47 2019
# QUERY:
#   
#           SELECT ALL
#           p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.type,   
#           p.deVRad_u, p.deVRad_g, p.deVRad_r, p.deVRad_i, p.deVRad_z,
#           p.deVAB_u, p.deVAB_g, p.deVAB_r, p.deVAB_i, p.deVAB_z,
#           p.deVPhi_u, p.deVPhi_g, p.deVPhi_r, p.deVPhi_i, p.deVPhi_z,
#   
#           p.expRad_u, p.expRad_g, p.expRad_r, p.expRad_i, p.expRad_z,
#           p.expAB_u, p.expAB_g, p.expAB_r, p.expAB_i, p.expAB_z,
#           p.expPhi_u, p.expPhi_g, p.expPhi_r, p.expPhi_i, p.expPhi_z 
#           FROM PhotoPrimary AS p
#           WHERE
#           p.ra BETWEEN 203.60844267931975 AND 204.05900267931975
#           AND p.dec BETWEEN 40.775866440905205 AND 41.2264264409052
#           AND p.type = 6
#           ORDER by p.r
#           
#Table1
ra,dec,u,g,r,i,z,type,deVRad_u,deVRad_g,deVRad_r,deVRad_i,deVRad_z,deVAB_u,deVAB_g,deVAB_r,deVAB_i,deVAB_z,deVPhi_u,deVPhi_g,deVPhi_r,deVPhi_i,deVPhi_z,expRad_u,expRad_g,expRad_r,expRad_i,expRad_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,expPhi_u,expPhi_g,expPhi_r,expPhi_i,expPhi_z
204.042317957056,40.9084737188688,16.56343,15.14844,14.66144,19.19897,14.45788,6,0.02506405,0.05240276,0.06558993,1.287574,3.732747E-05,0.4499824,0.778528,0.549945,0.9997928,0.633858,113.037,117.5668,88.71639,125.4562,147.0313,0.03032045,0.06856009,0.08103132,1.835238,0,0.5890019,0.7499518,0.7500014,0.95214,0.6999041,113.0007,118.0806,89.01142,55.01451,147.0296
203.816975847901,40.9894216670658,16.25167,15.06414,14.69469,15.08237,14.51248,6,0.06867936,0.02990733,0.0001839982,0.3977328,0.03120232,0.8441547,0.7499999,0.8499932,0.9268796,0.7033958,112.7347,116.6477,123.9046,92.0487,146.3783,0.08478402,0.02330528,0.0001406267,0.494429,0.03768094,0.8999845,0.8999957,0.6661504,0.8643744,0.75033,112.767,116.5535,123.7495,119.7612,146.2888
203.651596920458,41.1290451747402,17.4306,15.53923,14.83937,21.67859,14.50095,6,0.05585377,0.0156423,0.0002191616,1.033622,0.02862521,0.9999711,0.7499119,0.7500008,0.9999044,0.9998179,141.1323,148.8926,121.8728,114.1324,148.0534,0.08848064,0.02338433,1.115879E-06,3.30045,0.03288529,0.987501,0.6840369,0.6836725,0.9207532,0.9999007,142.7341,148.125,121.9358,144.3898,148.1388
203.690764327312,40.8485819931016,18.77738,16.25282,14.88656,13.92363,13.41443,6,9.401363E-05,0,0.0247171,0.05346466,0.0004083673,0.4264613,0.7498779,0.6446761,0.9012034,0.7194887,144.2372,82.40354,117.0057,86.7771,84.58626,0.001110668,1.79747E-05,0.04640037,0.04795066,0.0004905479,0.3230337,0.7096126,0.3999697,0.9999487,0.1593363,144.2955,82.41,116.7702,86.47533,117.3013
203.93848001289,40.8992475012112,17.32599,15.54473,14.9132,14.71265,14.60059,6,0.08522652,0.1127807,0.0733045,0.05238162,0.06668737,0.5867482,0.8525283,0.9126836,0.9500222,0.8284889,113.9553,146.7746,117.4374,86.88346,117.7169,0.1305862,0.1692021,0.09908747,0.05253974,0.08067793,0.7106534,0.8400997,0.9930897,0.9998099,0.8730857,114.3677,146.3015,117.7718,86.85291,117.5589
204.021406324133,41.0246782442222,17.18324,15.52303,14.95597,15.67417,14.72648,6,4.208672E-05,0.0787403,0,0.3115658,0.07076393,0.8154804,0.6499493,0.8500134,0.9447113,0.5507727,105.7804,118.0448,96.32525,120.9513,146.7402,1.926905E-05,0.1293419,5.795369E-05,0.3574479,0.1052353,0.781488,0.6759372,0.7961774,0.9997458,0.6514664,105.7444,118.8903,96.45139,123.987,146.7667
204.044400733686,41.2192221271487,15.888,14.81858,14.98372,13.4472,13.50497,6,0.02625347,0.1220674,1.111374,1.546559,0.07217534,0.3946312,0.7499557,0.8582339,0.9865918,0.9499996,88.02798,145.5579,90.33389,75.85412,149.7483,0.05531928,0.1903956,1.170749,1.528971,0.09124319,0.2000676,0.899834,0.9299327,0.9464641,0.9968637,88.08415,147.942,89.15514,121.2324,150.2441
203.806276951596,41.0219357656736,16.64024,15.41015,14.99142,14.83667,14.78634,6,0.06892571,0.0001601911,0.01275671,5.980914E-05,0.0199493,0.8029988,0.7525241,0.8499699,0.8012767,0.9997086,94.88823,116.3272,54.8087,118.9752,142.9432,0.09120125,0.0004919213,0.02329517,0,0.02573801,0.8573524,0.5999418,0.6999834,0.6999138,0.9997537,62.09809,116.3599,55.73322,118.6787,143.0145
203.657498524847,41.2135339138106,18.01005,15.82564,15.02578,14.80361,14.7158,6,0.06454731,3.753263E-05,0.0007674265,0.0001460928,0.02217186,0.8001295,0.7329177,0.8172176,0.8042403,0.7682109,115.2096,150.0615,120.1808,119.6073,149.662,0.07931551,0.0004240936,0.0004023641,6.940898E-05,0.02815008,0.8308235,0.5927665,0.8964476,0.7414615,0.784489,115.0764,150.0504,120.2348,119.7032,149.4655
203.676105135491,41.0978898710762,16.86696,15.50647,15.03287,15.32915,14.80256,6,0.06457854,4.296462E-05,0.006190181,0.3877053,0.003016861,0.7346721,0.8100877,0.7092507,0.8668282,0.8547753,150.0261,149.8799,89.61197,78.19376,116.2856,0.0784537,0.0001055141,0.000617281,0.4472443,0.003081155,0.779848,0.6506405,0.6076409,0.8751773,0.7006724,150.0676,149.8761,122.8959,98.41394,116.2803
203.912370221308,41.0147080159563,18.50253,16.11499,15.04524,15.08188,14.46411,6,0.09260699,0.08139278,0.03229505,0.4105502,0.08060762,0.2499171,0.9873292,0.4999948,0.8710267,0.9997929,114.9992,114.6156,26.28598,52.62743,147.8415,0.1390552,0.1183516,0.04955088,0.5007123,0.1274049,0.3385465,0.9879084,0.3999959,0.7755193,0.9999161,115.2448,114.9229,26.38986,55.54565,108.7685
204.055905693289,40.8708011810364,17.93403,15.96711,15.20519,14.97048,14.86119,6,0.03081294,0.0359874,0.0587226,0.02577154,0.00550292,0.4241493,0.9498749,0.9997233,0.9998437,0.2548983,85.8919,116.6746,86.77592,85.47289,118.7193,0.0327909,0.04021281,0.09915902,0.03140137,0.0004805069,0.5391533,0.9498851,0.9998146,0.9997945,0.4833065,85.54189,116.6368,53.58372,85.67995,118.8481
203.647232770609,40.9050621370795,19.07791,16.43531,15.23076,14.69575,14.45707,6,0.0001694531,1.022969E-05,0.0004233979,0.004269232,0.01004166,0.4950305,0.7436695,0.7473416,0.7500181,0.399971,83.34671,150.9689,84.21127,85.20853,116.6351,0.0003683263,0.0001347054,0.009860704,0.007028568,0.01087665,0.4015805,0.6212463,0.6065874,0.7499831,0.5468922,83.43494,151.0148,117.3933,85.38248,116.5812
203.854642032288,41.080810223411,19.23952,16.67081,15.27493,14.54431,13.65197,6,0.1521446,0,0.005222331,1.414891,2.137454E-05,0.2227643,0.749989,0.6143729,0.9827824,0.8773954,140.2928,116.7664,124.0722,107.4449,109.7588,0.2357745,0,0.006626816,1.269199,0.0001432136,0.3185479,0.7149641,0.6715944,0.9806293,0.7499205,138.7049,116.7904,124.0995,179.7633,109.8538
203.771233697041,40.8124596281537,18.33076,16.07709,15.27691,15.02987,14.88949,6,0.1992648,0.08220972,0.1309102,0.13186,0.1270072,0.4872131,0.9250764,0.399985,0.704926,0.3516139,14.60425,83.01214,28.59866,62.59866,31.43084,0.1970834,0.1279588,0.1733381,0.1678193,0.1327326,0.9998334,0.9653844,0.5511549,0.8940676,0.8145483,84.07891,82.491,29.65845,85.16161,61.86575
203.819556837724,41.1397666966379,16.51184,15.5236,15.34364,15.3254,15.34302,6,0.009051283,0.07271359,0.004616285,0,0.0001052853,0.9997569,0.6499789,0.84986,0.7500306,0.7342895,142.2867,116.9648,124.5624,95.71437,185.0063,0.01229866,0.09564192,0.03002255,0.007237482,0.004712766,0.9330334,0.7499968,0.7087332,0.4565278,0.05,142.848,116.9337,91.20659,55.23066,184.6181
203.985683593637,41.0180917918088,18.75614,16.31668,15.34408,14.96473,14.81496,6,0.01457177,0.07493393,0.06927464,0.02675868,0.05784361,0.211193,0.6900641,0.09995636,0.4000015,0.8520078,145.9474,117.5445,26.52761,90.23592,147.0602,0.03208571,0.11549,0.1176131,0.001840838,0.06147255,0.1992847,0.7656214,0.1999856,0.6103151,0.8925998,145.8292,117.8227,26.48817,118.735,147.1905
203.846034061261,41.1427072667452,19.11368,16.62579,15.39447,15.21945,14.49526,6,0.08630096,0,0.0001686451,0.3147904,0,0.3500125,0.8999563,0.3985314,0.9889281,0.8001862,107.0802,116.5912,127.4064,138.4522,103.308,0.1315354,1.419282E-05,0.009452411,0.3835426,0,0.3486916,0.9444848,0.7499123,0.9891616,0.699874,107.0716,116.5576,55.37265,110.573,103.4502
203.70934096702,41.1808936517361,17.87415,16.16825,15.55298,15.36787,15.28517,6,0.06403051,0,0.1528994,0,0.003705373,0.2499814,0.6500115,0.8538787,0.7258464,0.7903798,116.4705,149.8163,90.20298,87.53181,151.1578,0.1038377,0.0001087865,0.2068339,7.820544E-05,0.03693121,0.2966628,0.5027769,0.8688112,0.6662132,0.7033482,116.4801,149.7916,89.60179,87.47008,116.607
203.81449895546,40.8125461109717,17.28708,16.00165,15.57969,15.41863,15.35122,6,0.0005526759,0.09947271,0.07356097,0.09051809,0.06527366,0.6147234,0.9828978,0.8041837,0.8729565,0.05,85.97775,116.6307,117.3965,87.00179,86.52332,0.008130486,0.1481192,0.1132112,0.1385714,0.09866275,0.4862221,0.9841238,0.8428873,0.8766972,0.4002037,86.71878,116.6036,117.3682,87.11045,86.53281
203.840616036921,41.0139550688453,17.06823,15.9503,15.59793,15.48859,15.44771,6,0.04661479,7.096869E-06,0.005623057,0,0,0.3998701,0.7350979,0.9998625,0.8988244,0.8500123,94.7851,116.3708,96.88725,123.1314,147.7481,0.06320664,0.002895823,0.00669679,0,3.797005E-05,0.4475392,0.2687666,0.8999876,0.9501547,0.8046919,94.6643,116.3906,96.74543,123.0902,147.769
203.827562156354,41.1179607287529,18.63832,16.57299,15.75896,15.47267,15.30949,6,0.1269785,0.002328884,0.003531212,0,0.05793614,0.05,0.9983227,0.8498039,0.5499955,0.05,131.1391,116.1632,125.1337,96.34718,145.4768,0.193338,0.003433669,0.004945465,0,0.05537217,0.300001,0.9982537,0.6592326,0.6499896,0.3496628,129.5359,116.1563,124.7646,96.2622,145.4632
203.854454339705,40.8755053875291,17.94454,16.55817,16.04637,15.86652,15.76583,6,0.06644054,9.354504E-07,0.0358491,0.06192265,0.09105022,0.9998478,0.9943366,0.9930641,0.9497424,0.9998245,118.5196,150.7163,120.1077,54.90774,98.97976,0.07644082,6.358744E-06,0.02659527,0.06419729,0.1364538,0.9997594,0.5889943,0.9998835,0.9560733,0.9999294,118.5441,150.6969,120.1918,55.01302,98.29766
203.783584534653,41.1136060798792,17.66961,16.48932,16.11133,15.99713,15.93891,6,0.01120028,0.04578775,0.006595371,1.991147E-05,0.01258928,0.9997375,0.8444806,0.6423753,0.9476951,0.7000486,117.6126,116.0601,120.583,120.4094,114.121,0.01296203,0.04903669,0.01057478,0.006622938,0.01461813,0.9999899,0.8999515,0.820285,0.8139877,0.7850584,117.5168,116.0052,120.7018,52.71448,113.8204
204.016791737982,41.0737981386172,18.5415,16.87567,16.11489,15.81602,15.66636,6,0.07485383,0.05510777,0.01198119,0.03774175,0.01167695,0.4240238,0.09757832,0.052397,0.2969913,0.9997905,116.6449,116.9275,96.54821,90.10715,150.6274,0.1234964,0.05467851,0.001906312,0.04611095,0.01455077,0.549843,0.3999875,0.7556906,0.3999687,0.9997958,116.9801,116.9013,96.75497,90.07145,150.627
203.911839519693,41.0456524322878,17.85983,16.60606,16.14678,16.02209,15.98963,6,4.920782E-05,0.08192968,0.004849811,0.04109386,0.006919555,0.778018,0.9697049,0.8599498,0.6622368,0.967363,132.3952,115.6082,97.09633,57.57433,82.38609,5.356661E-05,0.1289896,0.005765772,0.04942648,0.04783389,0.6978071,0.9685474,0.8998819,0.7127079,0.351992,132.2673,115.9615,97.28456,57.63343,114.2441
203.754704423285,41.0325283712695,17.63255,16.50547,16.18937,16.08257,16.05433,6,0.00165446,0.06657351,0.01460348,0,0.01379645,0.2243288,0.614008,0.8999839,0.5005324,0.999873,118.0268,117.3076,55.79249,118.5033,142.8217,0.006354804,0.09114484,0.01752032,0.0002153331,0.01707709,0.7953238,0.7019607,0.9417948,0.4260733,0.999611,118.0236,117.3178,55.78804,118.5363,142.8264
204.029287716976,41.0971500232725,17.73938,16.59161,16.19633,16.05197,16.00801,6,0.06313537,0.0002227239,0.04304614,0.006876672,0.009691468,0.7817834,0.7757961,0.5142184,0.7662239,0.9940847,142.61,81.97,90.60794,118.4471,90.36393,0.07193588,0,0.05111483,0.01015515,0.01214522,0.8048146,0.6504731,0.6499605,0.7603084,0.9999372,142.5397,82.00484,90.90347,118.2993,90.04568
203.772547068157,41.0123594582312,19.17445,17.0675,16.23312,15.93883,15.77875,6,0.04426606,0.02555004,0.02205278,0,0.002550537,0.2000959,0.7499819,0.6829404,0.9998906,0.9479703,86.01154,116.4653,90.38657,119.8808,76.55047,0.06645589,0.03327718,0.02792592,0,0.003798003,0.2133446,0.7671166,0.6999775,0.6996692,0.9417803,85.8927,116.5182,90.28719,120.0216,76.60257
204.026840341117,40.9829434065299,18.04999,16.72933,16.24134,16.08684,16.02664,6,0.04177908,0.06901294,2.350731E-05,0.03638152,0.05440219,0.07763983,0.3354995,0.9936862,0.5649731,0.4745091,119.3617,116.6772,122.9988,90.16687,146.115,0.02981658,0.1154709,2.65955E-05,0.04654446,0.08775958,0.2999234,0.2499576,0.7304684,0.5952279,0.299912,119.3226,116.6947,123.167,90.21568,146.0216
203.741930276792,40.7906031029719,20.07633,17.58555,16.27855,15.59244,15.19137,6,0.001138218,0.04336815,0.01255202,0.09896775,0.0008895961,0.13453,0.9998422,0.2351456,0.9963075,0.710768,79.93562,81.96464,86.60477,88.22197,53.13396,0.0003498356,0.08225285,0.001692287,0.145995,0.001900291,0.1573166,0.9970997,0.6431123,0.99011,0.723469,79.82829,152.2765,86.51121,53.78043,53.31554
