#Table1
ra,dec,u,g,r,i,z,type,psffwhm_u,psffwhm_g,psffwhm_r,psffwhm_i,psffwhm_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,deVRad_u,deVRad_g,deVRad_r,deVRad_i,deVRad_z,deVAB_u,deVAB_g,deVAB_r,deVAB_i,deVAB_z,deVPhi_u,deVPhi_g,deVPhi_r,deVPhi_i,deVPhi_z,expRad_u,expRad_g,expRad_r,expRad_i,expRad_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,expPhi_u,expPhi_g,expPhi_r,expPhi_i,expPhi_z
36.4524813612513,-6.00303497187602,21.27369,18.87175,17.79031,17.34621,17.0642,6,1.203307,1.229767,1.122922,1.032496,0.9578346,1.871698,1.384215,1.411265,1.318643,1.491684,0.2442565,0.02291869,0.09981173,0.034918,2.261389E-05,0.09995462,0.9999626,0.9997923,0.3497633,0.7003444,86.35942,108.2258,122.8991,10.54152,133.8688,0.368026,0.02819286,0.1442482,0.06015229,0,0.09240287,0.9998011,0.9998369,0.2499988,0.6180641,84.92138,108.2663,123.6612,10.52121,133.8647
36.4370691659897,-5.85239439098742,22.1036,19.38388,17.95249,17.07442,16.59344,6,1.216751,1.201457,1.134485,1.022709,1.040319,0.9364176,1.37262,1.201267,1.228233,1.235455,0.8800632,0.0005285096,0.01506493,0.007902743,0.05948499,0.05,0.8328805,0.390821,0.7920908,0.8053067,58.00729,38.05733,100.2154,65.06227,40.60373,0.4330328,7.544865E-05,0.01875536,0.009667557,0.06225758,0.1016212,0.6117004,0.4440523,0.8399842,0.844284,46.4399,37.98873,100.2318,64.9863,40.56168
36.384731561676,-5.82113124585973,19.44033,18.39007,17.95606,17.81256,17.72615,6,1.197576,1.176715,1.144023,1.055044,1.02521,1.342357,1.340861,1.240722,1.227409,1.275958,0.07803411,0.0989816,2.433302E-05,0.01472711,0.02350564,0.9998082,0.3752293,0.6104474,0.9997492,0.9147326,94.898,67.98753,65.29393,61.91264,37.17698,0.1246119,0.1499571,0.01236147,0.01850504,0.02343943,0.9998878,0.49995,0.5364482,0.9997063,0.9998693,93.22741,67.91094,98.76563,61.87996,107.6417
36.5594592822731,-5.87194672972548,19.29099,18.30871,18.02695,17.90538,17.87514,6,1.204337,1.203065,1.142594,0.9838713,0.9471846,1.283758,1.385431,1.322462,1.225925,1.273581,0.0009739143,0.06562977,0.06380086,0.04873794,0.06324219,0.5959252,0.5000439,0.677799,0.2495474,0.2999625,39.48264,70.06544,103.3989,100.2924,71.09859,0.03167632,0.09108564,0.07300887,0.0753551,0.09130679,0.3423312,0.5990034,0.7499038,0.2499031,0.400044,41.95491,70.09274,103.2243,100.2908,71.10101
36.5056977100719,-5.95067998015841,20.27695,18.79518,18.20115,17.96848,17.84337,6,1.216068,1.158748,1.070605,0.9554189,0.9862612,1.321828,1.330792,1.264571,1.247174,1.229395,0.1789817,0.08074617,0.06382335,0.007370245,0.06729776,0.05897339,0.75784,0.527827,0.6904414,0.9565605,74.51073,69.86838,102.8966,64.61987,37.07952,0.2541735,0.127507,0.08510634,0.009155946,0.1156797,0.1345167,0.843834,0.5631991,0.7436698,0.9934654,74.62178,70.05334,103.055,64.61242,71.43153
36.5056736964163,-5.80562393868465,21.30755,19.09002,18.20635,17.87232,17.63558,6,1.198591,1.192111,1.166545,1.019136,1.000496,2.106766,1.340927,1.255585,1.27195,1.253555,0.5876215,0.04898121,0.02509011,0.01672415,2.685643E-05,0.05,0.3998869,0.8486859,0.9999244,0.5623253,79.82658,70.85209,99.86533,67.0234,36.11035,0.661666,0.07189003,0.001172031,0.006886181,0.0001247629,0.05,0.3852105,0.9165772,0.6160826,0.5400045,79.2606,70.85108,134.9072,68.65392,36.11831
36.5306041341722,-5.95119497978725,21.01968,19.09831,18.22059,17.84298,17.61174,6,1.217471,1.149897,1.068297,0.9487984,0.9748463,1.47049,1.360858,1.314749,1.239681,1.256069,0.1748921,0.08553806,0.06568596,0.01188484,0.000291872,0.9335235,0.5006897,0.5855325,0.9997463,0.5228798,69.8438,70.18578,104.5478,98.07584,104.2174,0.244241,0.1293119,0.08670254,0.01530963,0.0002079467,0.9637609,0.6556024,0.6629826,0.9998159,0.556218,69.3533,70.31151,104.6168,98.30775,104.2293
36.4301963198192,-5.91718867919671,22.47086,19.6903,18.37295,17.72858,17.37178,6,1.214936,1.19389,1.092523,0.9952608,1.023427,1.489726,1.374961,1.233982,1.196037,1.204872,0.3481398,0.0008428345,2.526182E-05,0.03633357,0.04425252,0.05,0.7220753,0.7325866,0.7835088,0.8295537,93.79449,38.34188,65.26646,100.0954,39.79638,5.800967E-05,0.0009282961,0.00488376,0.02835948,0.05330833,0.1850269,0.7127339,0.2119956,0.9997168,0.8868145,126.8831,38.27585,65.6461,134.1034,39.62914
36.4807670094614,-5.94704749761182,20.03793,19.03681,18.61737,18.47347,18.40776,6,1.216305,1.170036,1.074343,0.9669213,0.9967477,1.186168,1.294669,1.225614,1.209834,1.251502,0.02062615,0.05445705,0.06597605,0.003035019,0.05637733,0.9998235,0.9352224,0.2114982,0.8336549,0.5861942,100.7453,72.40561,104.0745,94.49968,41.16481,0.08726394,0.05403863,0.1005201,0.002567111,0.06751149,0.6739344,0.9999198,0.3973199,0.7385283,0.6304606,72.68354,37.6652,104.0199,62.17042,41.15216
36.5052098249662,-5.86074891499318,22.67074,20.1964,18.74811,17.10002,16.29281,6,1.213165,1.20027,1.141642,0.9975731,1.009191,1.264805,1.396764,1.281865,1.261264,1.23368,0.0005396552,2.022725E-05,0.07380314,0.005734477,9.336966E-05,0.05,0.4665651,0.9997746,0.7152464,0.707871,113.1416,108.9311,100.7188,65.8096,37.64824,0.0007308256,0.0001311985,0.1274722,0.007547847,2.098432E-05,0.05,0.05,0.9999342,0.7943216,0.7629755,112.9056,109.018,133.5078,65.78651,37.63307
